id,title,readers,x,y,area,paper_abstract,published_in,year,url,file_hash,authors,oa_state
22,The Big Bell Test,0,-0.707105373906644,0.7071081884636503,Games,<h5>What?</h5>The BIG Bell Test (BBT) is a worldwide project to bring human unpredictability (randomness) to cutting-edge physics experiments.<h5>Why?</h5>,,,test,403278915241159306,,0
23,ScienceAtHome,0,-0.707105373906644,0.7071081884636503,Games,"<h5>What?</h5>ScienceAtHome is an online platform for collaborative volunteer research, where people are invited to play scientific games, have fun and contribute to real discoveries on quantum physics, and human thinking. The team behind the project consists of scientists, game developers, designers and visual artists based at Aarhus University of Denmark and creates scientific games, with the aim to revolutionise scientific research and teaching by game-play. The goal of the dissemination is to engage citizens to the project objectives, hence to create a community around the games developed, to maximise the input of results gathered from users’ gameplay.<h5>Why?</h5>",,,https://www.openuphub.eu/component/k2/item/607-scienceathome,2601418410368192690,,0
24,Human Brain Project,0,-0.7071091266468291,-0.707104435718486,Website,"<h5>What?</h5>The article “Brain Projects Think Big” was published October 13, 2013, the early stages of the Human Brain Project . The goal was to provide a younger audience with an understanding of the Human Brain Project. The project is primarily a systematic cataloguing of everything that is known about the brain, as well as, the development of ingenious experimental and theoretical methods to probe the brain, and put together all learnings into a computer model of the brain.<h5>Why?</h5>",,,https://www.openuphub.eu/component/k2/item/604-brain-projects-think-big,-1248103809478743051,,0
25,Homer Multitext,0,-0.7071091266468291,-0.707104435718486,Website,"<h5>What?</h5>The Homer Multitext (HMT) is a long-term project seeking to present the Homeric Iliad and Odyssey in a critical framework. The project emphasizes collaborative research, openly licensed data, and innova-tive uses of technology. All material is openly licensed. HMT invites fellow researchers from all over the world to collaborate in the form of diplomatic editions, images of historical documents, and translations. In this context, the main purpose of dissemination is to reach out to other academic/research communities in the fields (homeric research, digital humani-ties). The purpose is not only to disseminate the results, but also to stimulate new cooperations, con-tributions, and ultimately also to share resources among the peers (incl. data, software).<h5>Why?</h5>",,,https://www.openuphub.eu/component/k2/item/609-homer-multitext-project,52941658039020542,,0
26,Pelagios,0,-0.7071091266468291,-0.707104435718486,Website,<h5>What?</h5>Pelagios Commons provides online resources and a community forum for using open data methods to link and explore historical places<h5>Why?</h5>,,,http://commons.pelagios.org/,18327148845268630,,0
27,Synthesys III,0,-0.9999999999964793,2.65358979335273e-06,Collaborative Research,<h5>What?</h5>is an EC-funded project creating an integrated European infrastructure for natural history collections.<h5>Why?</h5>,,,http://www.synthesys.info/,-9068714511905986876,,0
28,EU BON,0,-3.9803846904673455e-06,-0.9999999999920782,Repositories,"<h5>What?</h5>EU BON proposes an innovative approach in terms of integration of biodiversity information system from on-ground to remote sensing data, for addressing policy and information needs in a timely and customized way.<h5>Why?</h5>",,,http://www.eubon.eu/,5068637258577097766,,0
29,Open Source Malaria,0,1.3267948966775328e-06,0.9999999999991198,Citizen-Science,"<h5>What?</h5>The Open Source Malaria project is trying a different approach to curing malaria. Guided by open source principles, everything is open and anyone can contribute.<h5>Why?</h5>",,,http://opensourcemalaria.org/,4065127458327357290,,0
30,Open Innovation in Science,0,1.3267948966775328e-06,0.9999999999991198,Citizen-Science,<h5>What?</h5>Project that involved citizens at a very early stage of the research process: formulating relevant research questions.<h5>Why?</h5>,,,http://www.ois.lbg.ac.at/home.html,-3879723048881793881,,0
31,Personal Genome Project,0,1.3267948966775328e-06,0.9999999999991198,Citizen-Science,"<h5>What?</h5>The Personal Genome Project was founded in 2005 and is dedicated to creating public genome, health, and trait data. Sharing data is critical to scientific progress, but has been hampered by traditional research practices—our approach is to invite willing participants to publicly share their personal data for the greater good.<h5>Why?</h5>",,,http://www.personalgenomes.org/,58693703550688238,,0
32,Wildlife of our Homes,0,1.3267948966775328e-06,0.9999999999991198,Citizen-Science,<h5>What?</h5>examines the diversity of bacterial communities found in nine distinct locations within our homes; involves the community for data gathering.<h5>Why?</h5>,,,http://robdunnlab.com/projects/wild-life-of-our-homes/,-6318252178010486569,,0
33,Bauhinia Genome,0,1.3267948966775328e-06,0.9999999999991198,Citizen-Science,"<h5>What?</h5>Open genomics education project, improving public literacy and deeper genetics and data research training in Hong Kong through studying the cities floral emblem, the Hong Kong orcid tree Bauhinia blakeana. Through crowdfunding to fund data generation, school and university outreach and sharing of OER resources is providing manpower to assemble and analyse the data. As an open science project it is leading by example through open and transparent sharing of data, and use of reproducible research methodologies such as pre-registration, protocol publishing, and data publication.<h5>Why?</h5>",,,http://bauhiniagenome.hk/,-4832102397468176034,,0
34,Open Notebooks Science,0,-3.9803846904673455e-06,-0.9999999999920782,Repositories,"<h5>What?</h5>According to Jean-Claude Bradley (2006), author of this concept and practive it refers to “a way of doing science in which — as best as you can — you make all your research freely available to the public and in real time”. This practice does not only include data, information and positive results of a given piece of scientific research; it also disseminates partial status, weaknesses and challenges at a stage when they have not yet been solved by scientists.<h5>Why?</h5>",,,http://onsnetwork.org/,2290819135673424694,,0
35,Frontiers for young Minds,0,0.7071034975290827,-0.7071100648287638,Educational Materials,<h5>What?</h5>This will describe the project/tool<h5>Why?</h5>,,,https://kids.frontiersin.org/,-8336764851709988994,,0
36,Transcribe Bentham,0,-0.9999999999964793,2.65358979335273e-06,Collaborative Research,"<h5>What?</h5>Transcribe Bentham is an online collaborative initiative to transcribe the manuscripts of Jeremy Bentham from the archives of University College London. Jeremy Bentham (1748 – 1832) was an English philosopher, jurist, and social reformer. He is regarded as the founder of modern utilitarianism. The goal of the project is to collaboratively, with the help of many volunteers, digitise valuable handwritten, yet unpublished, work of Jeremy Bentham. By reading and encoding yet unread Bentham's work, new facts can be discovered about his thoughts. In this way, UCL was able to publish new editions of Bentham's work and make them publicly available through the UCL's digital library. Since 2014 Transcribe Bentham is part of the EU-funded Recognition and Enrichment of Archival Documents (READ) project.<h5>Why?</h5>",,,https://www.openuphub.eu/component/k2/item/608-transcribe-bentham,-466413445898156755,,0
